date,value
2019-01-01,120.5
2019-02-01,132.1
2019-03-01,141.0
2019-04-01,150.4
2019-05-01,158.2
2019-06-01,170.9
2019-07-01,180.1
2019-08-01,175.3
2019-09-01,165.8
2019-10-01,155.2
2019-11-01,141.6
2019-12-01,130.4
2020-01-01,138.2
2020-02-01,149.5
2020-03-01,160.3
2020-04-01,172.7
2020-05-01,181.9
2020-06-01,195.6
2020-07-01,204.8
2020-08-01,199.1
2020-09-01,187.3
2020-10-01,175.5
2020-11-01,161.0
2020-12-01,148.7
2021-01-01,158.9
2021-02-01,170.2
2021-03-01,182.5
2021-04-01,195.8
2021-05-01,206.1
2021-06-01,220.7
2021-07-01,231.4
2021-08-01,225.6
2021-09-01,212.8
2021-10-01,199.3
2021-11-01,183.7
2021-12-01,170.5
2022-01-01,181.2
2022-02-01,193.6
2022-03-01,207.0
2022-04-01,220.5
2022-05-01,232.3
2022-06-01,248.1
2022-07-01,260.2
2022-08-01,253.7
2022-09-01,239.1
2022-10-01,224.0
2022-11-01,207.4
2022-12-01,193.1
2023-01-01,204.8
2023-02-01,218.5
2023-03-01,232.9
2023-04-01,247.3
2023-05-01,260.1
2023-06-01,277.4
2023-07-01,290.2
2023-08-01,283.1
2023-09-01,267.5
2023-10-01,251.3
2023-11-01,233.0
2023-12-01,217.5
