date,value
2019-01-01,120.0
2019-02-01,129.05
2019-03-01,133.91
2019-04-01,135.17
2019-05-01,135.05
2019-06-01,129.02
2019-07-01,124.95
2019-08-01,121.45
2019-09-01,112.18
2019-10-01,110.65
2019-11-01,116.23
2019-12-01,122.19
2020-01-01,129.86
2020-02-01,135.57
2020-03-01,144.12
2020-04-01,148.74
2020-05-01,142.43
2020-06-01,139.96
2020-07-01,129.65
2020-08-01,124.48
2020-09-01,118.41
2020-10-01,121.21
2020-11-01,121.44
2020-12-01,131.58
2021-01-01,139.59
2021-02-01,147.03
2021-03-01,147.5
2021-04-01,155.25
2021-05-01,155.27
2021-06-01,150.98
2021-07-01,140.17
2021-08-01,136.11
2021-09-01,130.16
2021-10-01,129.38
2021-11-01,136.86
2021-12-01,138.48
2022-01-01,148.72
2022-02-01,159.31
2022-03-01,161.93
2022-04-01,165.92
2022-05-01,165.27
2022-06-01,160.46
2022-07-01,150.54
2022-08-01,147.09
2022-09-01,145.61
2022-10-01,137.13
2022-11-01,145.96
2022-12-01,150.4
2023-01-01,156.8
2023-02-01,171.7
2023-03-01,174.9
2023-04-01,172.8
2023-05-01,174.78
2023-06-01,171.34
2023-07-01,162.73
2023-08-01,158.21
2023-09-01,151.64
2023-10-01,152.27
2023-11-01,157.01
2023-12-01,158.01
2024-01-01,168.51
2024-02-01,175.14
2024-03-01,182.91
2024-04-01,182.43
2024-05-01,182.74
2024-06-01,179.01
2024-07-01,175.05
2024-08-01,168.96
2024-09-01,158.1
2024-10-01,158.21
2024-11-01,164.63
2024-12-01,164.32
